100.0	100.0	     78.67
100.0	121.0	     79.22
100.0	177.0	     79.45
100.0	268.0	      79.8
100.0	316.0	      79.6
100.0	383.0	     79.16
100.0	562.0	     78.71
100.0	825.0	     77.46
100.0	1211.0	     74.04
100.0	1778.0	     63.81
146.0	100.0	     80.93
146.0	121.0	     81.62
146.0	177.0	     82.03
146.0	268.0	     81.74
146.0	316.0	     81.72
146.0	383.0	     81.42
146.0	562.0	     80.77
146.0	825.0	     80.06
146.0	1211.0	     76.38
146.0	1778.0	     66.94
215.0	100.0	     82.32
215.0	121.0	     82.81
215.0	177.0	      83.2
215.0	268.0	     82.99
215.0	316.0	     82.77
215.0	383.0	     82.72
215.0	562.0	     82.43
215.0	825.0	     80.82
215.0	1211.0	     78.07
215.0	1778.0	      68.8
316.0	100.0	     82.67
316.0	121.0	     83.24
316.0	177.0	     83.44
316.0	268.0	     83.37
316.0	316.0	     83.19
316.0	383.0	     82.99
316.0	562.0	     82.64
316.0	825.0	      81.2
316.0	1211.0	      78.4
316.0	1778.0	      68.6
372.0	100.0	     82.36
372.0	121.0	     83.03
372.0	177.0	     83.55
372.0	268.0	     83.17
372.0	316.0	     83.19
372.0	383.0	     83.17
372.0	562.0	      82.8
372.0	825.0	     81.23
372.0	1211.0	     78.29
372.0	1778.0	     69.03
464.0	100.0	     82.23
464.0	121.0	     82.95
464.0	177.0	     83.43
464.0	268.0	     83.09
464.0	316.0	     83.08
464.0	383.0	     83.08
464.0	562.0	     82.59
464.0	825.0	     81.81
464.0	1211.0	     78.19
464.0	1778.0	     68.83
681.0	100.0	      82.4
681.0	121.0	     82.94
681.0	177.0	     83.25
681.0	268.0	     83.05
681.0	316.0	     82.93
681.0	383.0	     83.14
681.0	562.0	     81.89
681.0	825.0	     81.41
681.0	1211.0	     77.74
681.0	1778.0	     67.83
1000.0	100.0	     81.98
1000.0	121.0	     82.32
1000.0	177.0	     82.57
1000.0	268.0	     82.53
1000.0	316.0	     82.37
1000.0	383.0	     82.51
1000.0	562.0	     82.28
1000.0	825.0	     80.65
1000.0	1211.0	     77.77
1000.0	1778.0	     67.79
1467.0	100.0	      80.7
1467.0	121.0	     81.26
1467.0	177.0	     81.72
1467.0	268.0	     81.25
1467.0	316.0	     81.34
1467.0	383.0	     81.36
1467.0	562.0	     80.36
1467.0	825.0	     79.24
1467.0	1211.0	     75.33
1467.0	1778.0	     66.46
2154.0	100.0	     78.29
2154.0	121.0	     78.91
2154.0	177.0	     79.13
2154.0	268.0	     79.38
2154.0	316.0	      78.9
2154.0	383.0	     78.75
2154.0	562.0	      78.0
2154.0	825.0	     76.94
2154.0	1211.0	     73.68
2154.0	1778.0	     62.61
