100.0	121.0	     79.27
100.0	177.0	     79.56
100.0	215.0	     79.46
100.0	268.0	     79.56
100.0	316.0	     79.46
100.0	372.0	     79.42
100.0	464.0	     78.87
100.0	562.0	     78.75
100.0	1211.0	     73.57
100.0	1467.0	     69.85
100.0	2023.6	     59.21
146.0	121.0	     81.63
146.0	177.0	     81.64
146.0	215.0	     81.73
146.0	268.0	     81.42
146.0	316.0	     81.64
146.0	372.0	     82.05
146.0	464.0	      81.5
146.0	562.0	     81.12
146.0	1211.0	     76.62
146.0	1467.0	     72.96
146.0	2023.6	     62.36
215.0	121.0	     83.11
215.0	177.0	     83.29
215.0	215.0	      83.2
215.0	268.0	     83.04
215.0	316.0	     83.06
215.0	372.0	     83.24
215.0	464.0	     83.03
215.0	562.0	     82.24
215.0	1211.0	     77.56
215.0	1467.0	     74.29
215.0	2023.6	     64.51
268.0	121.0	     83.01
268.0	177.0	     83.27
268.0	215.0	     83.33
268.0	268.0	     83.31
268.0	316.0	     83.15
268.0	372.0	     83.07
268.0	464.0	     82.81
268.0	562.0	     82.65
268.0	1211.0	     77.88
268.0	1467.0	     74.26
268.0	2023.6	     64.23
316.0	121.0	     82.82
316.0	177.0	     83.11
316.0	215.0	     83.54
316.0	268.0	     82.96
316.0	316.0	     83.12
316.0	372.0	     83.27
316.0	464.0	     82.77
316.0	562.0	     82.23
316.0	1211.0	     78.07
316.0	1467.0	     74.68
316.0	2023.6	     64.05
372.0	121.0	     82.85
372.0	177.0	      83.5
372.0	215.0	     83.24
372.0	268.0	     83.16
372.0	316.0	     83.34
372.0	372.0	     83.01
372.0	464.0	     82.88
372.0	562.0	     82.69
372.0	1211.0	     77.64
372.0	1467.0	     74.96
372.0	2023.6	     63.33
464.0	121.0	     82.99
464.0	177.0	     83.29
464.0	215.0	     83.28
464.0	268.0	     83.24
464.0	316.0	     82.93
464.0	372.0	     83.12
464.0	464.0	     83.19
464.0	562.0	     82.59
464.0	1211.0	     78.13
464.0	1467.0	     74.98
464.0	2023.6	     64.37
681.0	121.0	     82.88
681.0	177.0	     83.27
681.0	215.0	     82.95
681.0	268.0	     83.07
681.0	316.0	     83.08
681.0	372.0	      82.8
681.0	464.0	     82.62
681.0	562.0	      82.4
681.0	1211.0	     78.04
681.0	1467.0	     74.15
681.0	2023.6	     63.62
1000.0	121.0	     82.39
1000.0	177.0	     82.69
1000.0	215.0	     82.63
1000.0	268.0	     82.43
1000.0	316.0	     82.24
1000.0	372.0	     82.26
1000.0	464.0	     82.08
1000.0	562.0	     81.54
1000.0	1211.0	     77.28
1000.0	1467.0	     73.18
1000.0	2023.6	     62.6
1467.0	121.0	     81.97
1467.0	177.0	     81.77
1467.0	215.0	      81.6
1467.0	268.0	     81.78
1467.0	316.0	     81.74
1467.0	372.0	     81.41
1467.0	464.0	      81.0
1467.0	562.0	     80.87
1467.0	1211.0	     75.74
1467.0	1467.0	     72.51
1467.0	2023.6	     59.99
3162.0	121.0	     72.23
3162.0	177.0	     72.39
3162.0	215.0	     72.25
3162.0	268.0	     72.28
3162.0	316.0	     72.18
3162.0	372.0	     71.94
3162.0	464.0	     71.55
3162.0	562.0	     70.67
3162.0	1211.0	     65.03
3162.0	1467.0	      60.5
3162.0	2023.6	     48.21
