100.0	100.0	     70.67
100.0	121.0	     72.23
100.0	177.0	     74.75
100.0	268.0	     76.51
100.0	383.0	     76.46
100.0	464.0	     76.38
100.0	562.0	     76.36
100.0	825.0	     76.42
100.0	1211.0	     75.45
100.0	1778.0	     74.92
100.0	3556.0	     67.63
146.0	100.0	     72.76
146.0	121.0	     74.49
146.0	177.0	     76.84
146.0	268.0	     78.46
146.0	383.0	     78.48
146.0	464.0	      78.5
146.0	562.0	     78.48
146.0	825.0	      78.5
146.0	1211.0	     78.23
146.0	1778.0	     76.35
146.0	3556.0	     69.31
215.0	100.0	     74.49
215.0	121.0	      76.6
215.0	177.0	     79.21
215.0	268.0	     80.46
215.0	383.0	     81.12
215.0	464.0	     81.25
215.0	562.0	     81.06
215.0	825.0	     80.69
215.0	1211.0	     80.41
215.0	1778.0	     79.57
215.0	3556.0	     72.3
316.0	100.0	     76.79
316.0	121.0	     77.94
316.0	177.0	     81.02
316.0	268.0	     82.71
316.0	383.0	     82.78
316.0	464.0	     82.81
316.0	562.0	     82.57
316.0	825.0	     82.66
316.0	1211.0	     82.06
316.0	1778.0	     81.44
316.0	3556.0	     74.32
464.0	100.0	     77.45
464.0	121.0	     78.99
464.0	177.0	     81.77
464.0	268.0	     83.06
464.0	383.0	     83.62
464.0	464.0	     83.68
464.0	562.0	     83.51
464.0	825.0	     83.25
464.0	1211.0	     82.81
464.0	1778.0	     82.15
464.0	3556.0	     75.24
681.0	100.0	     77.97
681.0	121.0	     79.43
681.0	177.0	     82.19
681.0	268.0	     83.77
681.0	383.0	     83.92
681.0	464.0	     84.15
681.0	562.0	     83.83
681.0	825.0	     83.92
681.0	1211.0	     83.49
681.0	1778.0	     82.69
681.0	3556.0	     76.38
825.0	100.0	     78.49
825.0	121.0	     79.88
825.0	177.0	     82.39
825.0	268.0	     83.75
825.0	383.0	     84.52
825.0	464.0	     84.29
825.0	562.0	     84.43
825.0	825.0	     83.83
825.0	1211.0	     83.59
825.0	1778.0	     82.74
825.0	3556.0	     76.18
1000.0	100.0	     77.95
1000.0	121.0	     79.38
1000.0	177.0	     81.84
1000.0	268.0	     83.42
1000.0	383.0	     83.62
1000.0	464.0	     84.01
1000.0	562.0	     83.98
1000.0	825.0	     83.88
1000.0	1211.0	     83.34
1000.0	1778.0	     82.59
1000.0	3556.0	     76.24
1467.0	100.0	     78.27
1467.0	121.0	     79.59
1467.0	177.0	      82.2
1467.0	268.0	     83.48
1467.0	383.0	     83.87
1467.0	464.0	     83.78
1467.0	562.0	     83.82
1467.0	825.0	     83.83
1467.0	1211.0	     83.47
1467.0	1778.0	     82.78
1467.0	3556.0	     76.38
2154.0	100.0	     78.19
2154.0	121.0	      79.1
2154.0	177.0	     81.49
2154.0	268.0	     82.72
2154.0	383.0	     83.09
2154.0	464.0	     83.05
2154.0	562.0	     83.17
2154.0	825.0	     83.12
2154.0	1211.0	     82.61
2154.0	1778.0	      82.2
2154.0	3556.0	     74.38
3162.0	100.0	      76.9
3162.0	121.0	     78.71
3162.0	177.0	      81.3
3162.0	268.0	     82.83
3162.0	383.0	     82.64
3162.0	464.0	      82.9
3162.0	562.0	     82.87
3162.0	825.0	      82.5
3162.0	1211.0	     82.14
3162.0	1778.0	     81.85
3162.0	3556.0	     75.1
