146.0	121.0	     74.41
146.0	177.0	     77.07
146.0	261.0	     78.33
146.0	383.0	     78.36
146.0	562.0	     78.32
146.0	825.0	     78.25
146.0	1211.0	     78.15
146.0	1778.0	     77.02
146.0	2610.0	     74.63
146.0	3831.0	     67.82
215.0	121.0	      76.4
215.0	177.0	     79.03
215.0	261.0	     80.58
215.0	383.0	     80.79
215.0	562.0	      80.7
215.0	825.0	     80.81
215.0	1211.0	     80.33
215.0	1778.0	      79.5
215.0	2610.0	     77.31
215.0	3831.0	     71.32
316.0	121.0	     78.02
316.0	177.0	     80.41
316.0	261.0	     82.37
316.0	383.0	     82.73
316.0	562.0	     82.39
316.0	825.0	     82.57
316.0	1211.0	     81.93
316.0	1778.0	     80.97
316.0	2610.0	     78.93
316.0	3831.0	     73.41
464.0	121.0	     79.03
464.0	177.0	      81.8
464.0	261.0	      83.5
464.0	383.0	     83.59
464.0	562.0	     83.42
464.0	825.0	     83.17
464.0	1211.0	     83.02
464.0	1778.0	     82.39
464.0	2610.0	     80.37
464.0	3831.0	     74.22
681.0	121.0	     79.45
681.0	177.0	     82.24
681.0	261.0	     83.43
681.0	383.0	     84.07
681.0	562.0	     84.11
681.0	825.0	     83.83
681.0	1211.0	     83.53
681.0	1778.0	     82.81
681.0	2610.0	      80.6
681.0	3831.0	     74.77
1000.0	121.0	     79.45
1000.0	177.0	     81.66
1000.0	261.0	     83.27
1000.0	383.0	     83.97
1000.0	562.0	     83.78
1000.0	825.0	     83.62
1000.0	1211.0	     83.21
1000.0	1778.0	     82.82
1000.0	2610.0	     80.67
1000.0	3831.0	     74.61
1467.0	121.0	     79.61
1467.0	177.0	     81.87
1467.0	261.0	     83.33
1467.0	383.0	     83.67
1467.0	562.0	     83.37
1467.0	825.0	     83.64
1467.0	1211.0	     82.92
1467.0	1778.0	     82.59
1467.0	2610.0	     80.49
1467.0	3831.0	     74.05
2154.0	121.0	     79.36
2154.0	177.0	     81.89
2154.0	261.0	     83.03
2154.0	383.0	     82.88
2154.0	562.0	     82.86
2154.0	825.0	     82.88
2154.0	1211.0	     82.75
2154.0	1778.0	     82.25
2154.0	2610.0	     80.21
2154.0	3831.0	     74.11
3162.0	121.0	     78.51
3162.0	177.0	     81.07
3162.0	261.0	     82.56
3162.0	383.0	     83.02
3162.0	562.0	     82.69
3162.0	825.0	     82.41
3162.0	1211.0	     82.41
3162.0	1778.0	      81.5
3162.0	2610.0	     79.55
3162.0	3831.0	     72.83
4641.0	121.0	     77.99
4641.0	177.0	     80.25
4641.0	261.0	     81.79
4641.0	383.0	      82.0
4641.0	562.0	     81.52
4641.0	825.0	     81.71
4641.0	1211.0	     81.37
4641.0	1778.0	      79.9
4641.0	2610.0	     77.91
4641.0	3831.0	      70.2
