resistive_contrast,MRAM,ReRAM,FeFET
1.0,12.10057553428155,12.107774206344807,12.170240289917206
1.7066436812963441,21.130686343372005,21.154492409082508,21.16351809272889
2.912632654908738,23.99719939575387,23.746744025236467,23.80704018257916
4.970826116437392,25.28062142888917,25.16724013375541,25.234987884173982
8.48342898244072,25.96513168690101,25.756287246542954,25.64912164307422
14.478190468608734,26.22346200669891,26.113874350877317,26.016872677637135
24.709112279856043,26.255139642683055,26.256541567460715,26.19951816774718
42.169650342858226,26.564678596971945,26.188469735755206,26.180589983638875
71.96856730011521,26.468773638865176,26.344501902906202,26.402348344249
122.82470063469233,26.396082804626495,26.517419389352103,26.485211312924328
209.61799924531277,26.381942117063097,25.819719121638443,26.470123446290795
357.74323389799497,26.292799656457447,26.51907567135114,26.552452156459267
610.5402296585327,26.372201072940133,26.58842226699223,26.408020737974745
1041.9746251239537,26.383728170576926,26.10515945187067,26.450309636179973
1778.2794100389228,26.14217783789517,26.43730443138987,26.540719711553102
