logical_dimension_n,MRAM,ReRAM,FeFET
15.811388300841896,20.368119500004397,24.78912961740724,25.401072408766062
19.28310210581736,20.339774290907396,25.158600093214687,25.423973497424722
23.517101708493175,20.326881619658632,25.155796072539786,25.44230481306495
28.680762552243394,20.507530025789706,24.70620734877911,25.42823985435306
34.97821078356315,20.276692824499083,24.925834646590296,25.436910628507615
42.65839262086405,20.356902436574874,24.80777542695857,25.222530573647614
52.02491551828926,20.34058218887885,24.902567653570983,25.089699370621542
63.44805015839611,20.290974072360534,25.076095716312373,24.991092364532456
77.37936772789446,20.31583446087405,24.709226046329324,25.001560571837864
94.36959110675488,20.299614396214338,25.07246771150764,25.267181755460776
115.09036565112339,20.50323967399124,25.187243055656666,25.657763539658596
140.36081019705878,20.311911467379915,25.050180871779855,25.03067905201641
171.179897880379,20.375713790893005,24.890988010860205,25.36882386998758
208.76594682802002,20.284480728057375,25.01253305939827,25.25933362868085
254.60478183866985,20.260152899120556,24.823798884166447,24.764708778463792
310.5084709457808,20.26618760407757,25.072013016486473,24.64868879067493
378.68695879475047,20.034331322965766,25.01916434308136,25.009151211084788
461.8354285936933,20.023734055190623,24.69241612991563,25.368383391626704
563.2408461679433,19.661491617623774,24.9464713627747,25.369255080705173
686.9118979416319,19.76296384973152,24.860857764170635,25.037645628750063
837.7374594616713,19.272746250434416,24.83323100833648,24.968960035131907
1021.6798589284718,19.275426555861678,25.025547899330427,24.930240394981613
1246.0105756890284,18.75956188774335,24.859019336161467,25.616288223759852
1519.597691156599,18.381990330840978,24.896283885474453,25.31458550477902
1853.2564554610783,18.136445004082475,24.73031023637158,25.111746635887748
2260.176828180123,17.705337308246925,24.442882795594386,24.77298317709032
2756.444894385339,17.085855200749723,23.91168658731422,25.077957648355294
3361.678768249671,16.826687723103085,23.820533940877677,25.104985050101767
4099.804122302471,16.28097055290736,23.376048008567306,25.246283281171976
5000.0,15.548368932877638,22.74725255976381,25.06327016666272
